item_id,category,manufacturer,mpn,distributor_vendor,vendor_url,qty,purpose,required_or_optional,substitutes_allowed,substitute_qualification_rule,price,stock,lead_time,physical_purchase_status
RP0A-RING-001,rings,Nordic Semiconductor,nRF54L15-DK (PCA10156),Nordic / DigiKey VERIFY_AT_PURCHASE,https://www.nordicsemi.com/Products/Development-hardware/nRF54L15-DK,1,Ring EVT electrical / firmware platform (QFN48),required,no,Must be official PCA10156 DK,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-RING-002,rings,VERIFY_AT_PURCHASE,IMU breakout (BMI270-class or documented alt),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,IMU bring-up with DK,required,yes,I2C/SPI IMU with published datasheet,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-RING-003,rings,VERIFY_AT_PURCHASE,Capacitive/touch sensing eval hardware,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Touch/contact sensing prototype,required,yes,Compatible with nRF54L15 GPIO/peripherals,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-RING-004,rings,VERIFY_AT_PURCHASE,LRA + driver evaluation kit,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Haptics evaluation,optional,yes,Document driver IC and drive voltage,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-RING-005,rings,VERIFY_AT_PURCHASE,Programmable PSU / power measurement accessory,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Ring power characterization,required,yes,mA-resolution current measurement preferred,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-RING-006,rings,VERIFY_AT_PURCHASE,Magnetic contact charging prototype components,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Magnetic cradle charge prototype,required,yes,Pogo/magnetic contacts; not inductive experiment mix,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-DOCK-001,dock,VERIFY_AT_PURCHASE,COTS USB4/TB4 dock (40 Gb/s class preferred),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Behavioral USB4/display/Ethernet/USB validation,required,yes,Must expose USB4 uplink + display + Ethernet + USB; document VID/PID,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-DOCK-002,dock,VERIFY_AT_PURCHASE,Certified USB4 cable(s),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,2,USB4 link integrity,required,yes,USB4-certified cable markings,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-DOCK-003,dock,VERIFY_AT_PURCHASE,USB-C PD EPR-capable supply,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,PD power policy tests,required,yes,PD certified; document wattage,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-DOCK-004,dock,VERIFY_AT_PURCHASE,2.5 GbE endpoint (or 1G with PARTIAL note),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Dock Ethernet validation,required,yes,Prefer 2.5G NIC; if 1G only mark PARTIAL,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-DOCK-005,dock,VERIFY_AT_PURCHASE,External display endpoint(s),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,2,Dock + DDI dual-display tests,required,yes,DP and/or HDMI panels/monitors,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-001,lab_debug,VERIFY_AT_PURCHASE,USB power meter,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,USB-C power measurement,required,yes,Measures V/I on USB-C,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-002,lab_debug,VERIFY_AT_PURCHASE,Bench PSU,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Controlled power bring-up,required,yes,Adjustable CC/CV preferred,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-003,lab_debug,VERIFY_AT_PURCHASE,Logic analyzer,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,I2C/SPI/UART debug,optional,yes,>=8 channels preferred,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-004,lab_debug,VERIFY_AT_PURCHASE,USB-UART adapter,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Serial console,required,yes,3.3V UART,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-005,lab_debug,SEGGER / Nordic OB,SWD/J-Link (if not included on DK),VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,MCU debug (DK includes OB J-Link),optional,yes,Not required if using PCA10156 OB debugger,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-006,lab_debug,VERIFY_AT_PURCHASE,Thermal probes,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Skin/module thermal measurement,required,yes,Thermocouple or calibrated IR,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-007,lab_debug,VERIFY_AT_PURCHASE,Current measurement shunt/ammeter,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,Idle/compile/AI/game power,required,yes,Adequate range for module + dock loads,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
RP0A-LAB-008,lab_debug,VERIFY_AT_PURCHASE,ESD-safe mat/strap accessories,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,1,ESD-safe bench practice,required,yes,Standard ESD workstation kit,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,VERIFY_AT_PURCHASE,NOT_PURCHASED
